geographical_area_id,goods_nomenclature_item_id,measure_type_id,from,to,duty
AU,0702000000,142,15/05,31/10,10.50%
AU,0702000000,142,01/11,14/05,6.00%
AU,0808108000,142,01/01,31/03,3.00%
AU,0808108000,142,01/04,31/07,0.00%
AU,0808108000,142,01/08,31/12,6.00%
AU,0808309000,142,01/01,31/01,6.00%
AU,0808309000,142,01/02,31/03,3.00%
AU,0808309000,142,01/04,31/07,0.00%
AU,0808309000,142,01/08,31/12,7.50%
CL,0704100000,142,15/4,30/11,8.00%
CL,0704100000,142,1/12,14/4,6.10%
CL,0705110000,142,15/4,30/11,8.00%
CL,0705110000,142,1/12,14/4,6.10%
CL,0708200000,142,1/7,30/09,10.00%
CL,0708200000,142,1/10,30/6,6.90%
EG,0702000000,142,1/1,30/6,0.00%
EG,0702000000,142,1/11,21/12,0.00%
EG,0703200000,142,15/1,30/6,4.80%
EG,0703200000,143,15/01,30/06,0.00%
EG,0703200000,142,1/7,14/1,9.60%
EG,0707000500,143,15/11,15/05,0.00%
EG,0709910000,142,1/1,31/3,0.00%
EG,0709910000,142,1/11,31/12,0.00%
EG,0709931000,142,1/1,30/4,0.00%
EG,0709931000,142,1/10,31/12,0.00%
EG,0806101090,142,1/2,31/7,0.00%
EG,0810100000,143,01/10,30/04,0.00%
FO,0302410000,142,01/01,14/02,0.00%
FO,0302410000,142,16/06,31/12,0.00%
FO,0302440010,142,01/01,14/02,0.00%
FO,0302440010,142,16/06,31/12,0.00%
FO,0303510000,142,01/01,14/02,0.00%
FO,0303510000,142,16/06,31/12,0.00%
FO,0303541020,142,01/01,14/02,0.00%
FO,0303541020,142,16/06,31/12,0.00%
FO,0304992300,142,01/01,14/02,0.00%
FO,0304992300,142,16/06,31/12,0.00%
IL,0805102200,142,01/01,31/03,6.40%
IL,0805102200,142,01/04,30/04,4.10%
IL,0805102200,142,01/05,15/05,1.90%
IL,0805102200,142,16/05,15/10,1.20%
IL,0805102200,142,16/10,31/10,2.00%
IL,0805102200,142,01/11,31/12,6.40%
IL,0805102400,142,01/01,31/03,6.40%
IL,0805102400,142,01/04,30/04,4.10%
IL,0805102400,142,01/05,15/05,1.90%
IL,0805102400,142,16/05,15/10,1.20%
IL,0805102400,142,16/10,31/10,2.00%
IL,0805102400,142,01/11,31/12,6.40%
IL,0805102800,142,01/01,31/03,6.40%
IL,0805102800,142,01/04,30/04,4.10%
IL,0805102800,142,01/05,15/05,1.90%
IL,0805102800,142,16/05,15/10,1.20%
IL,0805102800,142,16/10,31/10,2.00%
IL,0805102800,142,01/11,31/12,6.40%
IL,0805108010,142,01/01,31/03,6.40%
IL,0805108010,142,01/04,15/10,4.80%
IL,0805108010,142,16/10,31/12,6.40%
IL,0806101090,142,01/04,31/07,0.00%
IL,0807190000,142,01/08,31/05,4.40%
IL,0810100000,142,01/11,30/04,4.40%
IS,0302439000,142,01/02,30/06,0.00%
IS,0302439000,142,01/07,31/01,3.90%
IS,0303539000,142,01/02,30/06,0.00%
IS,0303539000,142,01/07,31/01,3.90%
IS,0303894000,142,01/02,30/06,0.00%
IS,0303894000,142,01/07,31/01,3.00%
IS,0406105010,143,01/01,30/06,0.00%
IS,0406105010,143,01/07,31/12,0.00%
LB,0701905000,143,01/01,31/05,0.00%
LB,0701905000,143,01/06,31/07,0.00%
LB,0701909010,143,01/07,31/08,0.00%
LB,0702000000,142,15/5,31/10,5.70%
LB,0702000000,142,1/11,14/5,3.50%
LB,0805102200,142,01/04,30/04,4.10%
LB,0805102200,142,01/05,15/05,1.90%
LB,0805102200,142,16/05,15/10,1.20%
LB,0805102200,142,16/10,31/10,2.00%
LB,0805102200,142,01/11,31/03,6.40%
LB,0805102400,142,01/04,30/04,4.10%
LB,0805102400,142,01/05,15/05,1.90%
LB,0805102400,142,16/05,15/10,1.20%
LB,0805102400,142,16/10,31/10,2.00%
LB,0805102400,142,01/11,31/03,6.40%
LB,0805102800,142,01/04,30/04,4.10%
LB,0805102800,142,01/05,15/05,1.90%
LB,0805102800,142,16/05,15/10,1.20%
LB,0805102800,142,16/10,31/10,2.00%
LB,0805102800,142,01/11,31/03,6.40%
LB,0805108000,142,01/04,15/10,4.80%
LB,0805108000,142,16/10,31/03,6.40%
LB,0806101090,142,01/05,31/05,0.00%
LB,0806101090,142,12/07,30/09,0.00%
LB,0806101090,143,01/10,11/07,0.00%
LB,0806101090,143,01/10,11/07,4.60%
LB,0808101000,143,16/09,15/12,2.40%
LB,0808108010,142,01/01,31/03,1.60%
LB,0808108010,142,01/04,31/07,0.00%
LB,0808108010,142,01/08,31/12,3.60%
LB,0808108020,142,01/07,31/07,0.00%
LB,0808108020,142,01/08,31/12,3.60%
LB,0808108090,142,01/01,31/03,1.60%
LB,0808108090,142,01/04,31/07,0.00%
LB,0808108090,142,01/08,31/12,3.60%
LB,0809290000,142,16/06,15/07,2.40%
LB,0809290000,142,16/07,15/06,4.80%
LB,0809400500,143,01/05,31/08,0.00%
LB,0809400500,142,01/09,30/04,0.00%
LB,0809409000,143,01/05,31/08,0.00%
LB,0809409000,142,01/09,30/04,0.00%
MA,0702000000,142,01/01,14/05,3.50%
MA,0702000000,143,01/04,30/04,0.00%
MA,0702000000,142,15/05,31/10,5.70%
MA,0702000000,142,01/11,31/12,3.50%
MA,0707000500,142,01/06,31/10,0.00%
MA,0707000500,143,01/11,31/05,0.00%
MA,0707000510,143,01/11,31/05,0.00%
MA,0707000520,143,01/11,31/05,0.00%
MA,0707000590,143,01/11,31/05,0.00%
MA,0707000599,143,01/11,31/05,0.00%
MA,0709931000,142,21/04,31/05,5.10%
MA,0709931000,143,01/11,31/05,0.00%
MA,0805220020,142,01/01,29/02,3.20%
MA,0805220020,142,01/03,31/10,0.00%
MA,0805220020,143,01/10,20/04,0.00%
MA,0805220020,142,01/11,31/12,3.20%
MA,0810100000,143,01/05,31/05,6.40% MIN 1.00 GBP / 100 kg
MA,0810100000,142,01/11,31/03,0.00%
MA,0810100000,143,01/11,29/02,0.00%
MA,1702500000,143,01/10,31/05,0.00%
MX,0603110000,143,01/06,31/10,0.00%
MX,0603110000,143,01/11,31/05,0.00%
MX,0603120000,143,01/06,31/10,0.00%
MX,0603120000,143,01/11,31/05,0.00%
MX,0603130000,143,01/06,31/10,0.00%
MX,0603130000,143,01/11,31/05,0.00%
MX,0603140000,143,01/06,31/10,0.00%
MX,0603140000,143,01/11,31/05,0.00%
MX,0603150000,143,01/06,31/10,0.00%
MX,0603150000,143,01/11,31/05,0.00%
MX,0603191000,143,01/06,31/10,0.00%
MX,0603191000,143,01/11,31/05,0.00%
MX,0603192000,143,01/06,31/10,0.00%
MX,0603192000,143,01/11,31/05,0.00%
MX,0603197000,143,01/06,31/10,0.00%
MX,0603197000,143,01/11,31/05,0.00%
MX,0709200000,143,01/03,30/11,0.00%
MX,0709200000,142,01/12,29/02,0.00%
MX,0710808000,142,01/06,30/06,0.00%
MX,0710808000,142,01/07,31/10,0.00%
MX,0806101090,142,01/04,14/07,0.00%
MX,0807190000,143,01/01,31/01,2.20%
MX,0807190000,143,01/04,31/05,2.20%
MX,0807190000,143,01/10,31/12,2.20%
NO,0302410000,143,01/07,31/01,0.00%
NO,0302439000,142,01/02,30/06,0.00%
NO,0302439000,142,01/07,31/01,3.90%
NO,0302990055,143,01/07,31/01,0.00%
NO,0303539000,142,01/02,30/06,0.00%
NO,0303539000,142,01/07,31/01,3.90%
NO,0303894000,142,01/02,30/06,0.00%
NO,0303894000,142,01/07,31/01,3.00%
NO,0304992310,142,01/02,30/06,0.00%
NO,0304992310,142,01/07,31/01,3.00%
NO,0304992320,142,01/02,30/06,0.00%
NO,0304992320,142,01/07,31/01,3.00%
NO,0304992330,142,01/02,30/06,0.00%
NO,0304992330,142,01/07,31/01,3.00%
NO,0305519010,143,01/04,31/12,0.00%
NO,0305519020,143,01/04,31/12,0.00%
NO,0305531090,143,01/04,31/12,0.00%
NZ,0808108000,142,01/01,31/07,0.00%
NZ,0808108000,142,01/08,31/12,6.00%
NZ,0808108000,143,1/8,31/12,0.00%
NZ,0809290000,142,16/06,15/07,4.50%
NZ,0809290000,142,16/07,15/06,9.00%
SG,0303541000,142,01/02,30/06,0.00%
SG,0303541000,142,01/07,20/11,5.00%
SG,0303541000,142,21/11,31/01,5.00%
SG,0702000000,142,15/05,31/10,4.80%
SG,0702000000,142,01/11,20/11,2.90%
SG,0702000000,142,21/11,14/05,2.90%
SG,0707000500,142,16/05,31/10,5.30%
SG,0707000500,142,01/11,20/11,4.20%
SG,0707000500,142,21/11,15/05,4.20%
SG,0805102200,142,01/04,30/04,3.40%
SG,0805102200,142,01/05,15/05,1.60%
SG,0805102200,142,16/05,15/10,1.00%
SG,0805102200,142,16/10,31/10,2.00%
SG,0805102200,142,01/11,20/11,5.30%
SG,0805102200,142,21/11,31/03,5.30%
SG,0805102400,142,01/04,30/04,3.40%
SG,0805102400,142,01/05,15/05,1.60%
SG,0805102400,142,16/05,15/10,1.00%
SG,0805102400,142,16/10,31/10,2.00%
SG,0805102400,142,01/11,20/11,5.30%
SG,0805102400,142,21/11,31/03,5.30%
SG,0805102800,142,01/04,30/04,3.40%
SG,0805102800,142,01/05,15/05,1.60%
SG,0805102800,142,16/05,15/10,1.00%
SG,0805102800,142,16/10,31/10,2.00%
SG,0805102800,142,01/11,20/11,5.30%
SG,0805102800,142,21/11,31/03,5.30%
SG,0806101005,142,01/12,31/01,2.60%
SG,0806101090,142,15/07,31/10,4.70%
SG,0806101090,142,01/11,20/11,3.80%
SG,0806101090,142,21/11,14/07,3.80%
SG,0808108000,142,01/01,31/03,1.30%
SG,0808108000,142,01/04,31/07,0.00%
SG,0808108000,142,01/08,20/11,3.00%
SG,0808108000,142,21/11,31/12,3.00%
SG,0808309000,142,01/01,31/01,2.60%
SG,0808309000,142,01/02,31/03,1.60%
SG,0808309000,142,01/04,31/07,0.00%
SG,0808309000,142,01/08,20/11,3.40%
SG,0808309000,142,21/11,31/12,3.40%
SG,0809400500,142,01/07,30/09,4.00%
SG,0809400500,142,01/10,20/11,2.10%
SG,0809400500,142,21/11,30/06,2.10%
TN,0701905000,142,01/01,31/03,4.80%
TN,0702000000,142,01/01,31/05,0.00%
TN,0702000000,142,01/10,31/12,0.00%
TN,0703101100,142,15/02,15/05,0.00%
TN,0703101900,142,15/02,15/05,0.00%
TN,0703200000,142,01/04,31/10,9.60%
TN,0703200000,142,01/11,31/03,0.00%
TN,0706100010,142,01/01,31/03,0.00%
TN,0707000500,142,01/10,31/03,0.00%
TN,0708100000,142,01/10,30/04,0.00%
TN,0708200000,142,01/11,30/04,0.00%
TN,0709200000,142,01/10,31/03,0.00%
TN,0709300000,142,01/12,30/04,0.00%
TN,0709400000,142,01/11,31/03,0.00%
TN,0709910000,142,01/10,31/12,0.00%
TN,0709931000,142,01/01,15/03,0.00%
TN,0709931000,142,01/12,31/12,0.00%
TN,0709995000,142,01/11,31/03,0.00%
TN,0709999040,142,01/11,31/03,0.00%
TN,0709999050,142,15/02,15/05,0.00%
TN,0805102200,142,01/01,31/03,3.20%
TN,0805102200,142,01/04,30/04,2.00%
TN,0805102200,142,01/05,15/05,0.90%
TN,0805102200,142,16/05,15/10,0.60%
TN,0805102200,142,16/10,31/10,2.00%
TN,0805102200,142,01/11,31/12,3.20%
TN,0805102400,142,01/01,31/03,3.20%
TN,0805102400,142,01/04,30/04,2.00%
TN,0805102400,142,01/05,15/05,0.90%
TN,0805102400,142,16/05,15/10,0.60%
TN,0805102400,142,16/10,31/10,2.00%
TN,0805102400,142,01/11,31/12,3.20%
TN,0805102800,142,01/01,31/03,3.20%
TN,0805102800,142,01/04,30/04,2.00%
TN,0805102800,142,01/05,15/05,0.90%
TN,0805102800,142,16/05,15/10,0.60%
TN,0805102800,142,16/10,31/10,2.00%
TN,0805102800,142,01/11,31/12,3.20%
TN,0805108010,142,01/01,31/03,3.20%
TN,0805108010,142,01/04,15/10,2.40%
TN,0805108010,142,16/10,31/12,3.20%
TN,0806101090,142,01/01,31/07,0.00%
TN,0806101090,142,15/11,31/12,0.00%
TN,0807110000,142,01/04,15/06,0.00%
TN,0807190000,142,01/11,31/05,0.00%
TN,0809400500,142,01/01,15/06,0.00%
TN,0809400500,142,01/11,31/12,0.00%
TN,0810100000,142,01/11,31/03,0.00%
TN,0810201000,142,15/05,15/06,4.40%
TR,0701905000,142,01/01,31/03,0.00%
TR,0703101100,142,15/02,15/05,0.00%
TR,0703101100,143,16/05,14/02,0.00%
TR,0703101900,142,15/02,15/05,0.00%
TR,0703101900,143,16/05,14/02,0.00%
TR,0708200000,142,01/11,30/04,0.00%
TR,0708900010,142,01/07,30/04,0.00%
TR,0709300000,142,15/01,30/04,0.00%
TR,0709300000,143,01/05,14/01,0.00%
TR,0709400010,142,01/01,30/04,0.00%
TR,0709931000,143,01/03,30/11,0.00%
TR,0709931000,142,01/12,29/02,0.00%
TR,0709939000,142,01/12,29/02,0.00%
TR,0806101090,143,01/05,17/06,0.00%
TR,0806101090,142,18/06,31/07,0.00%
TR,0806101090,143,01/08,14/11,0.00%
TR,0806101090,142,15/11,30/04,0.00%
TR,0807110000,142,01/04,15/06,0.00%
TR,0807190000,142,01/11,31/05,0.00%
TR,0809400500,142,01/05,10/06,0.00%
TR,0809400500,142,11/06,15/06,0.00%
VN,0303510000,142,01/01,31/01,5.00%
VN,0303510000,142,01/02,30/06,0.00%
VN,0303510000,142,01/07,31/12,5.00%
VN,0303541000,142,01/01,31/01,6.60%
VN,0303541000,142,01/02,30/06,0.00%
VN,0303541000,142,01/07,31/12,6.60%
VN,0304595000,142,01/01,31/01,5.00%
VN,0304595000,142,01/02,30/06,0.00%
VN,0304595000,142,01/07,31/12,5.00%
VN,0304992300,142,01/01,31/01,5.00%
VN,0304992300,142,01/02,30/06,0.00%
VN,0304992300,142,01/07,31/12,5.00%
ZA,0805102200,142,01/05,31/05,2.00%
ZA,0805102200,142,01/06,15/10,0.00%
ZA,0805102200,142,16/10,31/10,2.00%
ZA,0805102200,142,01/11,30/11,5.70%
ZA,0805102400,142,01/05,31/05,2.00%
ZA,0805102400,142,01/06,15/10,0.00%
ZA,0805102400,142,16/10,31/10,2.00%
ZA,0805102400,142,01/11,30/11,5.70%
ZA,0805102800,142,01/05,31/05,2.00%
ZA,0805102800,142,01/06,15/10,0.00%
ZA,0805102800,142,16/10,31/10,2.00%
ZA,0805102800,142,01/11,30/11,5.70%
ZA,0805501000,142,01/05,31/10,0.00%
ZA,0806101090,142,01/01,20/07,0.00%
ZA,0806101090,142,01/11,31/12,0.00%
ZA,0808309000,142,01/05,30/06,0.00%
